Abnormal vaginal bleeding in adolescence, c_1123, N92.1, N92.2, N93.8
Acetaminophen poisoning, c_306, T39.1
Achilles tendon rupture, c_806, S86.1
Acne, c_111, L70.0, L70.1, L70.2, L70.3, L70.5, L70.8, L70.9, L73.0
Acquired immunodeficiency syndrome, c_259, B20, B21, B22, B23, B24
Acute bacterial rhinosinusitis, c_1172, J01, J01.0, J01.1, J01.2, J01.3, J01.4, J01.8, J01.9
Acute bronchiolitis, c_1084, J21, J21.0, J21.1, J21.8, J21.9
Acute bronchitis, c_72, J20, J20.9, J68.0
Acute cystitis, c_184, N30.0
Acute hypnotic toxicity, c_191, F13.0
Acute laryngitis, c_123, J04.0
Acute liver failure, c_507, K72.0
Acute lower gastrointestinal hemorrhage, c_705, K62.5, K92.2
Acute lymphoblastic leukemia, c_70, C91.0
Acute opioid toxicity, c_193, T50.7
Acute otitis media, c_130, H66.0, H66.4, H66.9
Acute porphyria, c_168, E80.2
Acute stimulant overdose, c_194, F15.0, F15.1, T43.6
Acute streptococcal tonsillopharyngitis, c_249, J02.0, J03.0
Acute urticaria, c_77, L50
Acute viral rhinosinusitis, c_1166, J01, J01.0, J01.1, J01.2, J01.3, J01.4, J01.8, J01.9
Acute viral tonsillopharyngitis, c_121, J02, J02.8, J02.9, J03.8, J03.9
Adverse event following immunization, c_1217, T88.1
Alcohol poisoning, c_667, T51.0
Allergic conjunctivitis, c_3, H10.1
Allergic rhinitis, c_4, J30.1, J30.2, J30.3, J30.4
American trypanosomiasis, c_243, B57
Anal fissure, c_275, K60
Anaphylaxis, c_700, T78.2
Angioedema, c_715, T78.3
Ankle contusion, c_1049, S90.0
Ankle joint dislocation, c_1026, S93.0
Anorectal abscess, c_988, K61.2
Anorexia nervosa, c_7, F50.0, F50.1
Appendicitis, c_132, K35, K36, K37
Arm contusion, c_1039, S40.0
Arrhythmia, c_1155, I47.0, I48, I49
Ascariasis, c_289, B77
Asthma, c_8, J45, J45.0, J45.1, J45.8, J45.9
Asthma exacerbation, c_972, J45, J45.0, J45.1, J45.8, J45.9, J46
Atopic dermatitis, c_2, L20
Attention deficit hyperactivity disorder, c_581, F90
Atypical pneumonia, c_1118, J15.7, J16.0
Autism spectrum disorder, c_863, F84, F84.0, F84.1, F84.2, F84.3, F84.4, F84.5, F84.8, F84.9
Back and pelvis contusion, c_1050, S30.0
Bacterial gastroenteritis, c_1077, A04, A04.9, A09, K52.8, K52.9
Bacterial meningitis, c_563, G00, G01
Bacterial vaginitis, c_128, N76.0
Baker's cyst, c_910, M71.2
Balanoposthitis, c_134, N48.1
Battered child syndrome, c_1178, T74, T74.1, Y07, Y07.1, Y07.3, Y07.8, Y07.9
Beeturia, c_1205, R89.9
Blepharitis, c_769, H01.0
Bloating after certain types of food, c_1242, R14
Blunt abdominal trauma, c_1095, S39.0, S39.6, S39.7, S39.8, S39.9
Bone neoplasm, c_1186, C40, C41
Braincase fracture, c_1018, S02.0, S02.1, S02.7
Breast asymmetry in adolescence, c_1121, N64, N64.5, N64.9
Bruxism, c_999, F45.8, G47
Bulimia nervosa, c_14, F50.2, F50.3
Burn, c_845, T29, T30, T30.1, T30.2, T30.3, T30.4, T30.5, T30.6, T30.7
COVID-19, c_1105, B34.2, U07.1, U07.2
Carbon monoxide poisoning, c_161, T58, X47, X67, Y17
Cardiac tamponade, c_649, I31.4, I31.9
Cat-scratch disease, c_242, A28.1
Cavernous sinus thrombosis, c_614, G08
Celiac disease, c_15, K90.0
Cervical strain, c_975, M43.6, S13.6
Chalazion, c_171, H00.1
Chickenpox, c_68, B01.9
Cholecystitis, c_215, K81.0
Chronic constipation, c_674, K59.0
Chronic sinusitis, c_269, J32, J32.1, J32.2, J32.3, J32.4, J32.8, J32.9
Chronic tonsillitis, c_669, J35.0
Chronic urticaria, c_1112, L50
Clavicle fracture, c_1051, S42.0
Cluster headaches, c_39, G44.0
Common cold, c_87, J00
Concussion, c_672, S06.0
Conduct disorder, c_1170, F91
Congenital heart disease, c_1133, I51.9
Congenital syphilis, c_1119, A50
Conjunctivitis, c_172, B30.1, B30.3, B30.8, B30.9, H10, H13.1, H13.2
Contact dermatitis, c_670, L25
Corneal abrasion, c_174, S05.0
Corns and callosities, c_847, L84
Costochondritis, c_746, M94.0
Cradle cap, c_1091, L21.0
Crohn's disease, c_17, K50
Crohn's disease exacerbation, c_1208, K50, K50.8, K50.9
Croup, c_1116, J05
Cruciate ligament injury, c_811, S83.5
Cryptorchidism, c_1000, Q53, Q53.1, Q53.2, Q53.9
Cystic fibrosis, c_188, E84
Death cap poisoning, c_303, T62.0
Dehydration, c_298, E86
Delayed onset muscle soreness, c_1204, M79.1
Dengue fever, c_245, A97
Dental caries, c_79, K02
Dental fluorosis, c_1197, K00.3
Dental trauma, c_963, S02.5, S03.2
Dentin hypersensitivity, c_1213, K03.8
Diabetes mellitus type 1, c_404, E10
Diabetes mellitus type 2, c_405, E11
Diabetic ketoacidosis, c_634, E10.1, E11.1, E12.1, E13.1, E14.1
Diaper dermatitis, c_844, L22
Dysplasia of the hip, c_1120, Q65.8
Ear barotrauma, c_688, T70.0
Earwax blockage, c_808, H61.2
Elbow contusion, c_1041, S50.0
Elbow dislocation, c_1025, S53.0, S53.1
Encephalitis, c_671, A83, A85, A86, B01.1, B02.0, G04.0
Enterobiasis, c_166, B80
Epiglottitis, c_1078, J05.1
Epilepsy, c_74, G40
Epistaxis, c_983, R04.0
Erysipelas, c_169, A46
Erythema infectiosum, c_1004, B08.3
Erythema toxicum, c_1189, P83.1
External ear injury, c_1054, S00.4, S01.3
Eye injury, c_959, S05
Facial bones fracture, c_1015, S02
Facial contusion, c_1046, S00.8, S00.9
Febrile seizures, c_1086, R56.0
Femur fracture, c_1055, S72
Fetal alcohol syndrome, c_1167, P04.3, Q86.0
Finger contusion, c_1044, S60.1
Finger dislocation, c_1029, S63.1
Finger fracture, c_1012, S62.6
Flatfoot, c_814, M21.4
Food allergy, c_832, T78.1
Foot bones fracture, c_1019, S92
Foot contusion, c_1056, S90.3
Forearm bones fracture, c_1057, S52
Forearm contusion, c_1035, S50.1, S50.7, S50.8, S50.9
Foreign body aspiration, c_887, T17
Foreign body in ear, c_1187, T16
Foreign body in nose, c_1184, T17.0
Frequent sneezing of newborn, c_1241, R06.7
Functional dyspepsia, c_815, K30
Gastritis, c_515, K29.0, K29.1
Gastroesophageal reflux disease, c_101, K21
Gastrointestinal complaints after iron intake, c_1234, K92
Genital injury, c_960, S38.0, S38.2
Geographic tongue, c_1210, K14.1
Giardiasis, c_165, A07.1
Gilbert's syndrome, c_34, E80.4
Gingivitis, c_120, K05
Glomerulonephritis, c_374, N00, N01, N02, N03, N05
Goiter, c_734, E04, E04.9
Growing pains, c_1135, R29
Gynecomastia, unspecified, c_1181, N62
Hand bones fracture, c_1016, S62
Hand foot and mouth disease, c_1087, B08.4
Hashimoto's thyroiditis, c_428, E06.3
Head and neck unspecified injury, c_1040, S09.9
Heat and sun-related illness, c_424, T67
Heavy metal poisoning, c_1202, T56, T56.0, T56.1, T56.3, T57.0
Hemangioma, c_1006, D18.0
Hemolytic disease of the newborn, c_1142, P55
Hemolytic-uremic syndrome, c_606, D59.3
Hemophilia, c_1145, D68
Hemorrhagic stroke, c_709, I61, I61.9
Henoch-Schönlein purpura, c_463, D69.0
Hepatitis A, c_477, B15.9
Hepatitis B, c_478, B16.9, B18.1
Herbicide poisoning, c_294, T60.3
Herpangina, c_1183, B08.5
Hip contusion, c_1047, S70.0
Hip dislocation, c_1031, S73.0
Hookworm infection, c_290, B76
Humerus fracture, c_1070, S42.2, S42.3, S42.4
Hydrocele testis, c_525, N43
Hyperbilirubinemia of the newborn, c_1092, P57, P58, P59
Hypnic jerks, c_1243, G25.3
Hypothyroidism, c_59, E01, E02, E03, E03.9
Immune thrombocytopenia, c_628, D69.3
Impetigo contagiosa, c_42, L01
Incarcerated inguinal hernia, c_551, K40.0, K40.1, K40.3, K40.4
Increased intracranial pressure, c_332, G93.2
Infant dyschezia, c_1201, K59.8, P78.8
Infantile colic, c_1088, R10.83
Infantile hypertrophic pyloric stenosis, c_1117, Q40.0
Infectious arthritis, c_36, M00
Infectious mononucleosis, c_200, B27
Infective endocarditis, c_206, I33.0
Influenza, c_33, J09, J10, J11
Ingrown toenail, c_978, L60.0
Inguinal hernia, c_550, K40.2, K40.9
Insecticide poisoning, c_295, T60.0, T60.1, T60.2
Intestinal obstruction, c_694, K56
Intussusception, c_1125, K56.1
Iron deficiency anemia, c_62, D50, D50.8, D50.9
Irregular menstruation in adolescence, c_1124, N91, N91.3, N92.6
Irritable bowel syndrome, c_142, K58
Joint pain, unspecified, c_1083, M25.5
Kawasaki disease, c_1132, M30.3
Keloid, c_1188, L91.0
Knee dislocation, c_1030, S83.1
Lactose intolerance, c_735, E73.0, E73.1, E73.8, E73.9
Leptospirosis, c_256, A27
Limb injury, unspecified location, c_1053
Lip injury, c_1111, S00.5, S01.5
Lower leg contusion, c_1059, S80.0, S80.1
Lower limb injury, unspecified location, c_1038, T13.9
Lumbar vertebra fracture, c_1022, S32.0
Lyme disease, c_182, A69.2
Major depressive disorder, c_26, F32.0, F32.1, F32.2, F32.8, F32.9, F33.0, F33.1, F33.2, F33.8, F33.9
Major skin injury, c_1064, S01, S11, S21, S31, S41, S51, S61, S71, S81, S91
Mandible fracture, c_1060, S02.6
Measles, c_286, B05
Mechanical back pain, c_981, M54, M54.5, M54.6, M54.8, M54.9
Methanol poisoning, c_619, T51.1
Migraine, c_49, G43
Milia, c_848, L72.0
Miliaria, c_1008, L74.0, L74.1, L74.2, L74.3
Minor head injury, unspecified, c_984, S00, S01
Minor skin injury, c_1063, S01, S11, S21, S31, S41, S51, S71, S81, S91
Molluscum contagiosum, c_1122, B08.1
Multisystem inflammatory syndrome in children, c_1156, U07.3
Mumps, c_192, B26
Muscular dystrophy, c_1139, G71.0
Nail injury, c_979, S60.1, S90.2
Nasal septum deviation, c_810, J34.2
Nasolacrimal duct obstruction, c_799, H04.5
Necrotizing enterocolitis, c_1093, P77
Neonatal conjunctivitis, c_1114, P39.1
Neonatal jitteriness, c_1206, R68.1
Nephrolithiasis, c_37, N20, N20.0, N20.1, N20.2, N23
Nephrotic syndrome, c_265, N04
Nevus simplex, c_1240, Q82.5
Nocturnal enuresis, c_1143, F98.0, N39.4
Non-serious arm injury, c_1147
Non-serious back injury, c_1160
Non-serious elbow injury, c_1150
Non-serious forearm injury, c_1151
Non-serious hand injury, c_1153
Non-serious shoulder injury, c_1144
Non-serious wrist injury, c_1158
Nose injury, c_780, S00.3, S01.2, S02.2, S03.1
Nursing blister, c_1115, L13.9
Obstructive sleep apnea, c_711, G47.3
Onychomycosis, c_888, B35.1
Oral candidiasis, c_698, B37.0
Oral herpes, c_67, B00.1, B00.9
Orchitis and epididymitis, c_125, N45
Otitis externa, c_131, H60, H62.0, H62.1, H62.2, H62.3, H62.4
Painful ovulation, c_923, N94.0
Paronychia, c_529, L03.0
Patella fracture, c_1013, S82.0
Pediculosis capitis, c_633, B85.0
Pelvis fracture, c_1020, S32.1, S32.2, S32.3, S32.4, S32.5, S32.8
Penetrating abdominal trauma, c_1096, S39, S39.0, S39.6, S39.7, S39.8
Pericarditis, c_126, I30
Periorbital cellulitis, c_957, H05.0, L03.2
Peritonitis, c_660, K65.0
Peritonsillar abscess, c_686, J36
Perthes disease, c_1140, M91.8
Pertussis, c_724, A37
Phimosis, c_1107, N47
Physical injury of unknown location, c_1065, T14.8, T14.9
Pilonidal cyst, c_1168, L05, L05.0, L05.9
Pityriasis rosea, c_1200, L42
Pneumonia, c_127, J12, J13, J14, J15, J16, J17, J18
Pneumothorax, c_661, J93, S27.0
Polycystic ovary syndrome, c_145, E28.2
Postinfectious cough, c_922, R05
Primary dysmenorrhoea, c_1173, N94.4
Proctitis, c_728, K51.2, K62.7, K62.8
Pulpitis, c_124, K04.0
Pyelonephritis, c_284, N10, N12
Raynaud's phenomenon, c_209, I73.0
Reflex syncope, c_980, G90.8
Relapsing fever, c_237, A68
Rib fracture, c_889, S22.3
Rickets, c_336, E55.0
Roseola, c_1137, B08.2
Rubella, c_189, B06
Salicylate poisoning, c_307, T39.0, T49.0, T49.4
Scabies, c_589, B86
Scapula fracture, c_1021, S42.1
Scarlet fever, c_676, A38
Scoliosis, c_675, M41, M41.9, M96.5
Seborrheic dermatitis, c_453, L21
Separation anxiety disorder, c_1171, F93.0
Sepsis, c_645, A41.9
Serious arm injury, c_1148
Serious back injury, c_1157
Serious elbow injury, c_1149
Serious forearm injury, c_1152
Serious hand injury, c_1154
Serious shoulder injury, c_1146
Serious wrist injury, c_1159
Shingles, c_78, B02
Shoulder contusion, c_1037, S40.0
Shoulder dislocation, c_1028, S43.0
Sleep related leg cramps, c_1232, G47.8
Social anxiety disorder, c_308, F40.1
Specific learning disability, c_1180, F81, F81.0, F81.1, F81.2, F81.3, F81.8, F81.9
Splenic injury, c_755, S36.0
Sprained ankle, c_689, S93.4
Sprained elbow, c_817, S53.4
Sprained finger, c_1034, S63.6
Sprained hip, c_828, S73.1
Sprained knee, c_829, S83.4, S83.5, S83.6
Sprained shoulder, c_830, S43.4
Sprained wrist, c_818, S63.5
Stye, c_170, H00.0
Subarachnoid hemorrhage, c_685, I60
Suicidal tendencies, c_1130, Z91.5
Sun allergy, c_819, L56.3, L56.4, L56.8, L56.9
Sunburn, c_962, L55
Supracondylar humerus fracture, c_1136
Systemic lupus erythematosus, c_109, M32, M32.0, M32.1, M32.8, M32.9
Taeniasis, c_437, B68
Teething, c_1090, K00.7
Temporomandibular joint disorders, c_152, K07.6
Tension-type headaches, c_55, G44.2
Testicular torsion, c_523, N44
Tetanus, c_255, A35
Thalassemia, c_1094, D56
Thigh contusion, c_1048, S70.1
Thoracic vertebra fracture, c_1023, S22.0, S22.1
Tibiofibular fracture, c_1014, S82.1, S82.2, S82.3, S82.4
Tinea capitis, c_835, B35.0
Tinea corporis, c_833, B35.4
Tinea cruris, c_912, B35.6
Tinea pedis, c_857, B35.3
Tinea versicolor, c_786, B36.0
Toe contusion, c_1045, S90.1
Toe dislocation, c_1032, S93.1
Toe fracture, c_1062, S92.5
Tonsillar hypertrophy, c_1195, J35.1
Transient watery stools of breastfed, c_1235, R19.8
Trichinosis, c_433, B75
Trichuriasis, c_438, B79
Trunk injury, unspecified location, c_1052, T09.9
Typhoid fever, c_234, A01.0
Ulcerative colitis, c_23, K51
Ulcerative colitis exacerbation, c_1209, K51, K51.8
Umbilical granuloma, c_1185, P83.8
Umbilical hernia, c_1007, K42
Upper limb injury, unspecified location, c_1036, T11.9
Urethritis, c_292, N34.1, N34.2, N34.3, N37.0
Viral gastroenteritis, c_1076, A08, A08.4, A09, K52.8, K52.9
Viral meningitis, c_562, A87, B00.3, B02.1, B26.1, G02.0
Vitamin A deficiency, c_1141, E50, E50.0, E50.1, E50.2, E50.3, E50.4, E50.5, E50.6, E50.7, E50.8, E50.9
Vitamin K deficiency bleeding, c_1164, P53
Von Willebrand disease, c_388, D68.0
Vulvovaginal candidiasis, c_732, B37.3
Warts, c_13, B07
Whitlow, c_569, L03.0
Wound dehiscence, c_1193, T81.3
Wound infection, c_1192, T79.3
Wrist and hand contusion, c_1043, S60.2
Wrist dislocation, c_1027, S63.0